Category,Name,vp_name,ep_name,Directed,N,E,Community Size-SBM,Community Size-SBM_DC,Community Size-Louvain,Community Size-Infomap,Community Size-Spectral,Community Size-DNGR,Community Eligible Size-SBM,Community Eligible Size-SBM_DC,Community Eligible Size-Louvain,Community Eligible Size-Infomap,Community Eligible Size-Spectral,Community Eligible Size-DNGR,Description Length-SBM,Description Length-SBM_DC,Description Length-Louvain,Description Length-Infomap,Description Length-Spectral,Description Length-DNGR,Modularity-SBM,Modularity-SBM_DC,Modularity-Louvain,Modularity-Infomap,Modularity-Spectral,Modularity-DNGR,Interaction Fraction-SBM,Interaction Fraction-SBM_DC,Interaction Fraction-Louvain,Interaction Fraction-Infomap,Interaction Fraction-Spectral,Interaction Fraction-DNGR,Interaction Fraction All-SBM,Interaction Fraction All-SBM_DC,Interaction Fraction All-Louvain,Interaction Fraction All-Infomap,Interaction Fraction All-Spectral,Interaction Fraction All-DNGR
Biological,celegans_metabolic,title,,FALSE,453,4574,38,32,10,37,3,10,18,21,8,20,2,10,9807.755087,10835.77449,12420.65972,13304.13605,13491.63332,12727.99645,0.015758573,0.019984393,0.425037159,0.409045816,0.036826581,0.242512178,{'Assortative': 1.0},"{'Assortative': 0.9333333333333333, 'Core-Periphery': 0.05714285714285714, 'Disassortative': 0.009523809523809525}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.8444444444444444, 'Core-Periphery': 0.15555555555555556}",{'U-A1': 1.0},"{'U-A1': 0.9333333333333333, 'U-C1': 0.05714285714285714, 'U-D1': 0.009523809523809525}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},"{'U-A1': 0.8444444444444444, 'U-C1': 0.15555555555555556}"
Biological,celegansneural,title,value,TRUE,297,2359,40,29,7,18,31,10,21,18,7,15,19,9,8170.072699,9216.722256,9511.579926,9583.526807,10442.14215,9819.82627,-0.006847295,0.000701838,0.477913957,0.430771812,0.304296208,0.129168521,"{'Assortative': 0.8285714285714286, 'Core-Periphery': 0.09047619047619047, 'Disassortative': 0.004761904761904762, 'Source-Basin': 0.0761904761904762}","{'Assortative': 0.7581699346405228, 'Core-Periphery': 0.09803921568627451, 'Disassortative': 0.026143790849673203, 'Source-Basin': 0.11764705882352941}",{'Assortative': 1.0},"{'Assortative': 0.9619047619047619, 'Core-Periphery': 0.0380952380952381}","{'Assortative': 0.9649122807017544, 'Core-Periphery': 0.03508771929824561}","{'Assortative': 0.5555555555555556, 'Core-Periphery': 0.3333333333333333, 'Source-Basin': 0.1111111111111111}","{'D-A1': 0.5142857142857142, 'D-A2': 0.3142857142857143, 'D-C1': 0.05714285714285714, 'D-C2': 0.02857142857142857, 'D-C3': 0.004761904761904762, 'D-D1': 0.004761904761904762, 'D-D3': 0.009523809523809525, 'D-D5': 0.03333333333333333, 'D-D6': 0.03333333333333333}","{'D-A1': 0.43790849673202614, 'D-A2': 0.3202614379084967, 'D-C1': 0.013071895424836602, 'D-C2': 0.0784313725490196, 'D-C4': 0.006535947712418301, 'D-D1': 0.006535947712418301, 'D-D2': 0.0196078431372549, 'D-D3': 0.026143790849673203, 'D-D4': 0.006535947712418301, 'D-D5': 0.013071895424836602, 'D-D6': 0.0718954248366013}","{'D-A1': 0.47619047619047616, 'D-A2': 0.5238095238095238}","{'D-A1': 0.6, 'D-A2': 0.3619047619047619, 'D-C2': 0.0380952380952381}","{'D-A1': 0.32748538011695905, 'D-A2': 0.6374269005847953, 'D-C2': 0.03508771929824561}","{'D-A1': 0.2222222222222222, 'D-A2': 0.3333333333333333, 'D-C1': 0.19444444444444445, 'D-C2': 0.08333333333333333, 'D-C4': 0.05555555555555555, 'D-D5': 0.05555555555555555, 'D-D6': 0.05555555555555555}"
Biological,cintestinalis,title,depth,TRUE,205,2854,11,8,5,9,6,10,7,6,5,6,6,10,8304.660724,9504.679884,9145.914764,9277.025955,9179.405432,9380.871106,0.03127161,0.052960204,0.437152233,0.394113039,0.380528331,0.191481321,"{'Assortative': 0.5714285714285714, 'Core-Periphery': 0.14285714285714285, 'Source-Basin': 0.2857142857142857}","{'Assortative': 0.6, 'Core-Periphery': 0.2, 'Disassortative': 0.06666666666666667, 'Source-Basin': 0.13333333333333333}",{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.9333333333333333, 'Source-Basin': 0.06666666666666667}","{'Assortative': 0.7777777777777778, 'Core-Periphery': 0.17777777777777778, 'Source-Basin': 0.044444444444444446}","{'D-A1': 0.23809523809523808, 'D-A2': 0.3333333333333333, 'D-C1': 0.047619047619047616, 'D-C2': 0.09523809523809523, 'D-D4': 0.09523809523809523, 'D-D5': 0.09523809523809523, 'D-D6': 0.09523809523809523}","{'D-A1': 0.5333333333333333, 'D-A2': 0.06666666666666667, 'D-C2': 0.2, 'D-D1': 0.06666666666666667, 'D-D5': 0.06666666666666667, 'D-D6': 0.06666666666666667}","{'D-A1': 0.6, 'D-A2': 0.4}","{'D-A1': 0.6, 'D-A2': 0.4}","{'D-A1': 0.5333333333333333, 'D-A2': 0.4, 'D-D6': 0.06666666666666667}","{'D-A1': 0.5555555555555556, 'D-A2': 0.2222222222222222, 'D-C1': 0.08888888888888889, 'D-C2': 0.06666666666666667, 'D-C4': 0.022222222222222223, 'D-D3': 0.022222222222222223, 'D-D5': 0.022222222222222223}"
Biological,foodweb_little_rock,title,,TRUE,183,2476,18,12,3,6,4,10,13,9,3,5,4,10,4024.425844,4615.269563,5797.571404,5550.869959,5588.841814,5808.230092,0.011089986,0.02468463,0.35419543,0.319243738,0.353553239,0.067649924,"{'Assortative': 0.5769230769230769, 'Core-Periphery': 0.0641025641025641, 'Disassortative': 0.08974358974358974, 'Source-Basin': 0.2692307692307692}","{'Assortative': 0.5555555555555556, 'Core-Periphery': 0.16666666666666666, 'Disassortative': 0.027777777777777776, 'Source-Basin': 0.25}",{'Assortative': 1.0},"{'Assortative': 0.5, 'Source-Basin': 0.5}",{'Assortative': 1.0},"{'Assortative': 0.35555555555555557, 'Core-Periphery': 0.15555555555555556, 'Disassortative': 0.022222222222222223, 'Source-Basin': 0.4666666666666667}","{'D-A1': 0.46153846153846156, 'D-A2': 0.11538461538461539, 'D-C1': 0.01282051282051282, 'D-C2': 0.01282051282051282, 'D-C3': 0.02564102564102564, 'D-C4': 0.01282051282051282, 'D-D1': 0.01282051282051282, 'D-D2': 0.07692307692307693, 'D-D3': 0.05128205128205128, 'D-D4': 0.14102564102564102, 'D-D5': 0.038461538461538464, 'D-D6': 0.038461538461538464}","{'D-A1': 0.4444444444444444, 'D-A2': 0.1111111111111111, 'D-C1': 0.05555555555555555, 'D-C2': 0.05555555555555555, 'D-C4': 0.05555555555555555, 'D-D2': 0.027777777777777776, 'D-D3': 0.16666666666666666, 'D-D4': 0.08333333333333333}","{'D-A1': 0.6666666666666666, 'D-A2': 0.3333333333333333}","{'D-A1': 0.3, 'D-A2': 0.2, 'D-D3': 0.1, 'D-D6': 0.4}","{'D-A1': 0.8333333333333334, 'D-A2': 0.16666666666666666}","{'D-A1': 0.26666666666666666, 'D-A2': 0.08888888888888889, 'D-C2': 0.022222222222222223, 'D-C4': 0.13333333333333333, 'D-D2': 0.022222222222222223, 'D-D3': 0.2222222222222222, 'D-D4': 0.08888888888888889, 'D-D5': 0.022222222222222223, 'D-D6': 0.13333333333333333}"
Biological,fresh_websAkatoreA,title,,TRUE,84,227,5,2,6,26,1,10,4,2,6,5,1,6,535.8352954,697.2547458,837.7409696,1126.281561,726.1087197,927.9018851,-0.000446351,-0.003376739,0.334840575,0.212191193,0,-0.01366221,"{'Assortative': 0.16666666666666666, 'Disassortative': 0.3333333333333333, 'Source-Basin': 0.5}",{'Disassortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.8, 'Source-Basin': 0.2}",0,"{'Assortative': 0.5333333333333333, 'Core-Periphery': 0.06666666666666667, 'Disassortative': 0.26666666666666666, 'Source-Basin': 0.13333333333333333}","{'D-A1': 0.16666666666666666, 'D-D1': 0.16666666666666666, 'D-D2': 0.16666666666666666, 'D-D4': 0.16666666666666666, 'D-D5': 0.3333333333333333}",{'D-D1': 1.0},"{'D-A1': 0.6, 'D-A2': 0.4}","{'D-A1': 0.6, 'D-A2': 0.2, 'D-D3': 0.1, 'D-D6': 0.1}",0,"{'D-A1': 0.5333333333333333, 'D-C4': 0.06666666666666667, 'D-D1': 0.06666666666666667, 'D-D2': 0.2, 'D-D4': 0.13333333333333333}"
Biological,fullerene_structuresC1500,title,,FALSE,1500,2250,13,9,18,117,25,10,13,9,18,117,25,10,13358.03865,13872.30892,14140.12571,18659.6005,14471.90858,13874.31166,0.05448,0.032511111,0.836985778,0.741339556,0.836564444,0.814656889,"{'Assortative': 0.5128205128205128, 'Core-Periphery': 0.2692307692307692, 'Disassortative': 0.21794871794871795}","{'Assortative': 0.3888888888888889, 'Core-Periphery': 0.4166666666666667, 'Disassortative': 0.19444444444444445}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'U-A1': 0.5128205128205128, 'U-C1': 0.2692307692307692, 'U-D1': 0.21794871794871795}","{'U-A1': 0.3888888888888889, 'U-C1': 0.4166666666666667, 'U-D1': 0.19444444444444445}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0}
Biological,human_brainsBNU1_0025864_1_DTI_AAL,title,,FALSE,116,1563,12,8,4,2,4,10,10,7,4,2,4,8,2605.196787,3000.965446,3138.926501,3282.024818,3132.178741,3209.112254,0.008175912,0.008716034,0.376567406,0.182735024,0.379093431,0.190558292,"{'Assortative': 0.8888888888888888, 'Core-Periphery': 0.1111111111111111}","{'Assortative': 0.9523809523809523, 'Core-Periphery': 0.047619047619047616}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'U-A1': 0.8888888888888888, 'U-C1': 0.1111111111111111}","{'U-A1': 0.9523809523809523, 'U-C1': 0.047619047619047616}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0}
Biological,interactome_figeys,title,,TRUE,2217,6438,16,8,13,511,4,10,13,8,12,106,4,9,25004.18457,29182.25901,30790.76938,52991.89044,29749.16198,30484.89162,0.014146647,0.010060427,0.462669084,0.294345925,0.436085047,0.009055767,"{'Assortative': 0.16666666666666666, 'Core-Periphery': 0.16666666666666666, 'Disassortative': 0.10256410256410256, 'Source-Basin': 0.5641025641025641}","{'Assortative': 0.10714285714285714, 'Core-Periphery': 0.35714285714285715, 'Disassortative': 0.03571428571428571, 'Source-Basin': 0.5}",{'Assortative': 1.0},"{'Assortative': 0.9994609164420485, 'Core-Periphery': 0.00017969451931716083, 'Source-Basin': 0.00035938903863432165}",{'Assortative': 1.0},"{'Assortative': 0.19444444444444445, 'Core-Periphery': 0.027777777777777776, 'Source-Basin': 0.7777777777777778}","{'D-A1': 0.15384615384615385, 'D-A2': 0.01282051282051282, 'D-C1': 0.0641025641025641, 'D-C2': 0.038461538461538464, 'D-C3': 0.038461538461538464, 'D-C4': 0.02564102564102564, 'D-D1': 0.02564102564102564, 'D-D2': 0.07692307692307693, 'D-D3': 0.05128205128205128, 'D-D4': 0.16666666666666666, 'D-D5': 0.24358974358974358, 'D-D6': 0.10256410256410256}","{'D-A1': 0.07142857142857142, 'D-A2': 0.03571428571428571, 'D-C1': 0.03571428571428571, 'D-C2': 0.25, 'D-C3': 0.03571428571428571, 'D-C4': 0.03571428571428571, 'D-D1': 0.03571428571428571, 'D-D3': 0.14285714285714285, 'D-D4': 0.10714285714285714, 'D-D5': 0.10714285714285714, 'D-D6': 0.14285714285714285}","{'D-A1': 0.24242424242424243, 'D-A2': 0.7575757575757576}","{'D-A1': 0.49101527403414197, 'D-A2': 0.5084456424079066, 'D-C2': 0.00017969451931716083, 'D-D6': 0.00035938903863432165}","{'D-A1': 0.6666666666666666, 'D-A2': 0.3333333333333333}","{'D-A1': 0.16666666666666666, 'D-A2': 0.027777777777777776, 'D-C2': 0.027777777777777776, 'D-D3': 0.08333333333333333, 'D-D4': 0.1111111111111111, 'D-D5': 0.1111111111111111, 'D-D6': 0.4722222222222222}"
Biological,interactome_pdz,title,,FALSE,161,209,4,2,11,17,1,10,4,2,11,13,1,10,710.1090523,924.4438244,1116.603609,1207.678736,981.7113844,1137.909313,0.03597674,0.020867196,0.744728829,0.743114855,0,0.646596919,"{'Assortative': 0.3333333333333333, 'Core-Periphery': 0.3333333333333333, 'Disassortative': 0.3333333333333333}",{'Disassortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},0,"{'Assortative': 0.9555555555555556, 'Core-Periphery': 0.044444444444444446}","{'U-A1': 0.3333333333333333, 'U-C1': 0.3333333333333333, 'U-D1': 0.3333333333333333}",{'U-D1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},0,"{'U-A1': 0.9555555555555556, 'U-C1': 0.044444444444444446}"
Biological,interactome_stelzl,title,,TRUE,1615,6075,31,20,24,155,2,10,28,20,22,116,2,10,27065.83653,32316.86995,34087.93481,42356.07604,36046.96038,35628.96157,-0.001965933,-0.001166814,0.598788098,0.552367044,0.130774753,0.339425413,"{'Assortative': 0.4126984126984127, 'Core-Periphery': 0.042328042328042326, 'Disassortative': 0.3835978835978836, 'Source-Basin': 0.16137566137566137}","{'Assortative': 0.32105263157894737, 'Core-Periphery': 0.06315789473684211, 'Disassortative': 0.30526315789473685, 'Source-Basin': 0.3105263157894737}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.9111111111111111, 'Core-Periphery': 0.022222222222222223, 'Source-Basin': 0.06666666666666667}","{'D-A1': 0.26455026455026454, 'D-A2': 0.14814814814814814, 'D-C1': 0.03968253968253968, 'D-C3': 0.0026455026455026454, 'D-D1': 0.2804232804232804, 'D-D2': 0.10317460317460317, 'D-D4': 0.0026455026455026454, 'D-D5': 0.15873015873015872}","{'D-A1': 0.17894736842105263, 'D-A2': 0.14210526315789473, 'D-C1': 0.06315789473684211, 'D-D1': 0.20526315789473684, 'D-D2': 0.1, 'D-D5': 0.3105263157894737}","{'D-A1': 0.2943722943722944, 'D-A2': 0.7056277056277056}","{'D-A1': 0.4524737631184408, 'D-A2': 0.5475262368815592}",{'D-A1': 1.0},"{'D-A1': 0.5777777777777777, 'D-A2': 0.3333333333333333, 'D-C1': 0.022222222222222223, 'D-D5': 0.06666666666666667}"
Biological,messal_shale,title,,TRUE,700,6414,40,30,7,97,8,10,32,30,7,27,8,10,22152.15557,24466.14335,26606.49746,36585.50101,26657.3475,28744.44787,0.024807875,0.016107431,0.347433103,0.167628081,0.314456683,0.010287973,"{'Assortative': 0.4314516129032258, 'Core-Periphery': 0.15120967741935484, 'Disassortative': 0.11088709677419355, 'Source-Basin': 0.3064516129032258}","{'Assortative': 0.32413793103448274, 'Core-Periphery': 0.1310344827586207, 'Disassortative': 0.19310344827586207, 'Source-Basin': 0.35172413793103446}",{'Assortative': 1.0},"{'Assortative': 0.9515669515669516, 'Core-Periphery': 0.04843304843304843}",{'Assortative': 1.0},"{'Assortative': 0.17777777777777778, 'Core-Periphery': 0.15555555555555556, 'Disassortative': 0.044444444444444446, 'Source-Basin': 0.6222222222222222}","{'D-A1': 0.2923387096774194, 'D-A2': 0.13911290322580644, 'D-C1': 0.04435483870967742, 'D-C2': 0.028225806451612902, 'D-C3': 0.046370967741935484, 'D-C4': 0.03225806451612903, 'D-D1': 0.04233870967741935, 'D-D2': 0.06854838709677419, 'D-D3': 0.056451612903225805, 'D-D4': 0.10685483870967742, 'D-D5': 0.0907258064516129, 'D-D6': 0.05241935483870968}","{'D-A1': 0.19770114942528735, 'D-A2': 0.12643678160919541, 'D-C1': 0.05747126436781609, 'D-C2': 0.022988505747126436, 'D-C3': 0.03218390804597701, 'D-C4': 0.01839080459770115, 'D-D1': 0.09195402298850575, 'D-D2': 0.10114942528735632, 'D-D3': 0.041379310344827586, 'D-D4': 0.09195402298850575, 'D-D5': 0.1471264367816092, 'D-D6': 0.07126436781609195}","{'D-A1': 0.38095238095238093, 'D-A2': 0.6190476190476191}","{'D-A1': 0.5327635327635327, 'D-A2': 0.4188034188034188, 'D-C2': 0.04843304843304843}","{'D-A1': 0.5, 'D-A2': 0.5}","{'D-A1': 0.13333333333333333, 'D-A2': 0.044444444444444446, 'D-C2': 0.044444444444444446, 'D-C3': 0.022222222222222223, 'D-C4': 0.08888888888888889, 'D-D1': 0.022222222222222223, 'D-D2': 0.022222222222222223, 'D-D3': 0.2222222222222222, 'D-D4': 0.1111111111111111, 'D-D5': 0.24444444444444444, 'D-D6': 0.044444444444444446}"
Biological,yeast_transcription,title,,TRUE,664,1066,9,5,17,115,5,10,8,5,17,34,5,10,4269.543692,5394.064748,5772.291098,8674.243657,5421.974535,6640.186977,0.031931015,0.026034095,0.752888179,0.595496482,0.498049907,-0.008204295,"{'Assortative': 0.32142857142857145, 'Core-Periphery': 0.21428571428571427, 'Disassortative': 0.03571428571428571, 'Source-Basin': 0.42857142857142855}","{'Assortative': 0.4, 'Core-Periphery': 0.3, 'Disassortative': 0.1, 'Source-Basin': 0.2}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.1111111111111111, 'Core-Periphery': 0.3333333333333333, 'Disassortative': 0.3333333333333333, 'Source-Basin': 0.2222222222222222}","{'D-A1': 0.14285714285714285, 'D-A2': 0.17857142857142858, 'D-C2': 0.03571428571428571, 'D-C3': 0.14285714285714285, 'D-C4': 0.03571428571428571, 'D-D2': 0.03571428571428571, 'D-D3': 0.17857142857142858, 'D-D4': 0.03571428571428571, 'D-D5': 0.14285714285714285, 'D-D6': 0.07142857142857142}","{'D-A1': 0.1, 'D-A2': 0.3, 'D-C1': 0.3, 'D-D2': 0.1, 'D-D4': 0.1, 'D-D5': 0.1}","{'D-A1': 0.5661764705882353, 'D-A2': 0.4338235294117647}","{'D-A1': 0.4661319073083779, 'D-A2': 0.533868092691622}","{'D-A1': 0.3, 'D-A2': 0.7}","{'D-A1': 0.1111111111111111, 'D-C1': 0.06666666666666667, 'D-C3': 0.13333333333333333, 'D-C4': 0.13333333333333333, 'D-D1': 0.13333333333333333, 'D-D2': 0.2, 'D-D4': 0.17777777777777778, 'D-D5': 0.044444444444444446}"
Biological,ecoli_transcriptionv1.0,title,,TRUE,329,456,6,3,13,53,1,10,4,3,13,17,1,10,1655.844997,2229.419132,2497.113182,3373.400083,2231.336883,2806.658479,0.018986611,0.153124038,0.734985765,0.641875385,0,-0.005679632,"{'Assortative': 0.5, 'Source-Basin': 0.5}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},0,"{'Assortative': 0.4222222222222222, 'Core-Periphery': 0.17777777777777778, 'Disassortative': 0.2, 'Source-Basin': 0.2}","{'D-A1': 0.5, 'D-D3': 0.5}","{'D-A1': 0.6666666666666666, 'D-A2': 0.3333333333333333}","{'D-A1': 0.3717948717948718, 'D-A2': 0.6282051282051282}","{'D-A1': 0.5367647058823529, 'D-A2': 0.4632352941176471}",0,"{'D-A1': 0.3333333333333333, 'D-A2': 0.08888888888888889, 'D-C1': 0.06666666666666667, 'D-C3': 0.1111111111111111, 'D-D1': 0.06666666666666667, 'D-D2': 0.13333333333333333, 'D-D3': 0.022222222222222223, 'D-D4': 0.15555555555555556, 'D-D6': 0.022222222222222223}"
Biological,budapest_connectomeall_20k,title,,FALSE,1015,70654,57,44,4,3,17,10,52,43,4,3,17,10,115267.1983,119499.6945,137128.6545,144814.9159,131826.4133,129293.7009,0.032756785,0.046814547,0.557433253,0.519064501,0.312770783,0.341083905,"{'Assortative': 0.9600301659125189, 'Core-Periphery': 0.0392156862745098, 'Disassortative': 0.0007541478129713424}","{'Assortative': 0.9889258028792912, 'Core-Periphery': 0.01107419712070875}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.9777777777777777, 'Core-Periphery': 0.022222222222222223}","{'U-A1': 0.9600301659125189, 'U-C1': 0.0392156862745098, 'U-D1': 0.0007541478129713424}","{'U-A1': 0.9889258028792912, 'U-C1': 0.01107419712070875}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},"{'U-A1': 0.9777777777777777, 'U-C1': 0.022222222222222223}"
Biological,celegans_2019male_chemical,title,connectivity,TRUE,559,5246,25,18,7,21,16,10,25,18,7,19,16,10,16577.98398,19100.11621,20221.42624,20702.46522,19854.91681,21395.38498,0.051577827,0.085175766,0.526851607,0.465046438,0.496850135,0.374102659,"{'Assortative': 0.8, 'Core-Periphery': 0.05, 'Disassortative': 0.006666666666666667, 'Source-Basin': 0.14333333333333334}","{'Assortative': 0.8888888888888888, 'Core-Periphery': 0.05228758169934641, 'Source-Basin': 0.058823529411764705}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.8888888888888888, 'Core-Periphery': 0.022222222222222223, 'Source-Basin': 0.08888888888888889}","{'D-A1': 0.6, 'D-A2': 0.2, 'D-C1': 0.01, 'D-C2': 0.03, 'D-C3': 0.0033333333333333335, 'D-C4': 0.006666666666666667, 'D-D2': 0.006666666666666667, 'D-D4': 0.016666666666666666, 'D-D5': 0.1, 'D-D6': 0.02666666666666667}","{'D-A1': 0.6405228758169934, 'D-A2': 0.24836601307189543, 'D-C1': 0.032679738562091505, 'D-C2': 0.013071895424836602, 'D-C4': 0.006535947712418301, 'D-D3': 0.013071895424836602, 'D-D4': 0.006535947712418301, 'D-D5': 0.013071895424836602, 'D-D6': 0.026143790849673203}","{'D-A1': 0.6666666666666666, 'D-A2': 0.3333333333333333}","{'D-A1': 0.5789473684210527, 'D-A2': 0.42105263157894735}","{'D-A1': 0.575, 'D-A2': 0.425}","{'D-A1': 0.6888888888888889, 'D-A2': 0.2, 'D-C2': 0.022222222222222223, 'D-D5': 0.022222222222222223, 'D-D6': 0.06666666666666667}"
Biological,celegans_interactomeswi2007,title,,FALSE,1108,1500,5,2,28,105,2,10,4,2,26,86,2,10,7501.749112,8884.945014,10028.33851,12350.24809,8965.906283,9689.605136,-0.016241778,-0.016555556,0.758980444,0.696798222,0.081461333,0.598038889,"{'Core-Periphery': 0.6666666666666666, 'Disassortative': 0.3333333333333333}",{'Disassortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'U-C1': 0.6666666666666666, 'U-D1': 0.3333333333333333}",{'U-D1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0}
Biological,collins_yeast,title,,FALSE,1004,8319,29,25,21,60,26,10,29,24,20,44,26,10,18998.69754,21582.88224,22458.30628,24783.3876,24353.03754,25236.10081,0.164604353,0.17751494,0.760817376,0.746905312,0.680010007,0.688049576,"{'Assortative': 0.9827586206896551, 'Core-Periphery': 0.017241379310344827}","{'Assortative': 0.9891304347826086, 'Core-Periphery': 0.010869565217391304}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'U-A1': 0.9827586206896551, 'U-C1': 0.017241379310344827}","{'U-A1': 0.9891304347826086, 'U-C1': 0.010869565217391304}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0}
